,code,n_killed,n_injured,n_guns_involved,n_incidents
89,13780,7.0,16.0,113.0,72
90,13820,286.0,464.0,1044.0,776
91,13900,8.0,16.0,92.0,81
92,13940,0.0,1.0,12.0,7
93,13980,13.0,7.0,50.0,37
94,14010,4.0,13.0,55.0,54
95,14020,9.0,17.0,71.0,44
96,14100,9.0,8.0,28.0,25
97,14140,16.0,34.0,85.0,71
98,14180,12.0,21.0,47.0,46
99,14220,13.0,13.0,49.0,30
100,14260,39.0,34.0,305.0,168
101,14300,5.0,2.0,7.0,7
102,14340,1.0,1.0,4.0,4
103,14380,4.0,8.0,24.0,21
104,14420,4.0,5.0,8.0,8
105,14460,128.0,452.0,2708.0,2072
106,14500,11.0,8.0,46.0,44
107,14540,15.0,32.0,84.0,72
108,14580,10.0,7.0,69.0,35
109,14620,1.0,2.0,5.0,5
110,14660,6.0,4.0,74.0,49
111,14700,7.0,6.0,31.0,18
112,14720,3.0,2.0,28.0,6
113,14740,14.0,17.0,69.0,34
114,14780,8.0,4.0,18.0,13
115,14820,5.0,12.0,34.0,20
116,14860,93.0,344.0,1290.0,915
117,15020,20.0,26.0,50.0,37
118,15060,0.0,1.0,9.0,9
119,15100,0.0,3.0,5.0,5
120,15140,7.0,26.0,48.0,38
121,15180,11.0,10.0,42.0,35
122,15220,6.0,1.0,36.0,15
123,15260,21.0,29.0,80.0,60
124,15340,1.0,0.0,1.0,1
125,15380,82.0,277.0,829.0,710
126,15420,4.0,2.0,17.0,12
127,15460,14.0,11.0,51.0,46
128,15500,16.0,41.0,127.0,119
129,15540,7.0,12.0,75.0,69
130,15580,17.0,13.0,102.0,73
131,15620,3.0,9.0,13.0,13
132,15660,8.0,6.0,26.0,17
133,15680,8.0,14.0,90.0,42
134,15700,2.0,3.0,10.0,8
135,15740,6.0,5.0,35.0,27
136,15780,2.0,2.0,5.0,5
137,15820,9.0,15.0,49.0,25
138,15860,13.0,11.0,65.0,32
139,15900,1.0,2.0,3.0,3
140,15940,51.0,64.0,287.0,204
141,15980,64.0,147.0,478.0,374
